sensitive_attribute,group,selection_rate,true_positive_rate,false_positive_rate
sex,female,0.6753246753246753,0.7692307692307693,0.48
sex,male,0.7861271676300579,0.8699186991869918,0.58
age_group,adult,0.8,0.8627450980392157,0.6060606060606061
age_group,middle,0.703125,0.8604651162790697,0.38095238095238093
age_group,senior,1.0,1.0,1.0
age_group,young,0.6097560975609756,0.6363636363636364,0.5789473684210527
