sensitive_attribute,group,selection_rate,true_positive_rate,false_positive_rate
sex,female,0.6883116883116883,0.7692307692307693,0.52
sex,male,0.791907514450867,0.8780487804878049,0.58
age_group,adult,0.8,0.8627450980392157,0.6060606060606061
age_group,middle,0.703125,0.8604651162790697,0.38095238095238093
age_group,senior,1.0,1.0,1.0
age_group,young,0.6585365853658537,0.6818181818181818,0.631578947368421
